"level","experience"
1,0
2,300
3,450
4,630
5,970
6,1440
7,1940
8,3000
9,3920
10,4970
11,5900
12,7430
13,8620
14,10200
15,11300
16,13100
17,15200
18,17400
19,19600
20,21900
21,24300
22,27400
23,30600
24,33900
25,37300
26,40800
27,49200
28,54600
29,61900
30,65600
31,68400
32,74000
33,82700
34,88700
35,95000
36,102000
37,113000
38,121000
39,133000
40,142000
41,155000
42,163000
43,171000
44,179000
45,187000
46,195000
47,214000
48,229000
49,244000
50,259000
51,421000
52,500000
53,580000
54,663000
55,749000
56,837000
57,927000
58,1019000
59,1114000
60,1211000
61,1387000
62,1456000
63,1534000
64,1621000
65,1720000
66,1834000
67,1968000
68,2126000
69,2137000
70,2550000
71,2923000
72,3018000
73,3153000
74,3324000
75,3532000
76,3770600
77,4066000
78,4377000
79,4777000
80,5256000
81,5992000
82,6171000
83,6942000
84,7205000
85,7948000
86,8287000
87,9231000
88,9529000
89,10459000
90,10838000
